"IDHOTE","NUMEROHOTE","LIBELLEHOTE","ANNEEHOTE","SAISON","VILLEHOTE","CODENOCHOTE","DATEOUVERTURE","DATEFERMETURE","DATESCOMPETITION","NOTES"
1,"I","1896 Summer Olympics",1896,"Summer","Athina","GRE"," 6 April","15 April","6 – 13 April",""
2,"II","1900 Summer Olympics",1900,"Summer","Paris","FRA","","","14 May – 28 October",""
3,"III","1904 Summer Olympics",1904,"Summer","St. Louis","USA","14 May","","1 July – 26 November",""
5,"IV","1908 Summer Olympics",1908,"Summer","London","GBR","13 July","25 July","27 April – 31 October",""
6,"V","1912 Summer Olympics",1912,"Summer","Stockholm","SWE"," 6 July","15 July","5 May – 27 July",""
50,"VI","1916 Summer Olympics",1916,"Summer","Berlin","GER","","","—","Not held due to war"
7,"VII","1920 Summer Olympics",1920,"Summer","Antwerpen","BEL","14 August","30 August","23 April – 12 September",""
8,"VIII","1924 Summer Olympics",1924,"Summer","Paris","FRA"," 5 July","27 July","4 May – 27 July",""
9,"IX","1928 Summer Olympics",1928,"Summer","Amsterdam","NED","28 July","12 August","17 May – 12 August",""
10,"X","1932 Summer Olympics",1932,"Summer","Los Angeles","USA","30 July","14 August","30 July – 14 August",""
11,"XI","1936 Summer Olympics",1936,"Summer","Berlin","GER"," 1 August","16 August","1 – 16 August",""
51,"XII","1940 Summer Olympics",1940,"Summer","Helsinki","FIN","","","—","Not held due to war"
52,"XIII","1944 Summer Olympics",1944,"Summer","London","GBR","","","—","Not held due to war"
12,"XIV","1948 Summer Olympics",1948,"Summer","London","GBR","29 July","14 August","26 July – 14 August",""
13,"XV","1952 Summer Olympics",1952,"Summer","Helsinki","FIN","19 July"," 3 August","14 July –  3 August",""
14,"XVI","1956 Summer Olympics",1956,"Summer","Melbourne","AUS","22 November"," 8 December","22 November –  8 December",""
15,"XVII","1960 Summer Olympics",1960,"Summer","Roma","ITA","25 August","11 September","25 August – 11 September",""
16,"XVIII","1964 Summer Olympics",1964,"Summer","Tokyo","JPN","10 October","24 October","11 – 24 October",""
17,"XIX","1968 Summer Olympics",1968,"Summer","Ciudad de México","MEX","12 October","27 October","12 – 27 October",""
18,"XX","1972 Summer Olympics",1972,"Summer","München","FRG","26 August","11 September","26 August – 11 September",""
19,"XXI","1976 Summer Olympics",1976,"Summer","Montréal","CAN","17 July"," 1 August","18 July –  1 August",""
20,"XXII","1980 Summer Olympics",1980,"Summer","Moskva","URS","19 July"," 3 August","20 July –  3 August",""
21,"XXIII","1984 Summer Olympics",1984,"Summer","Los Angeles","USA","28 July","12 August","6 July – 12 August",""
22,"XXIV","1988 Summer Olympics",1988,"Summer","Seoul","KOR","17 September"," 2 October","17 September –  2 October",""
23,"XXV","1992 Summer Olympics",1992,"Summer","Barcelona","ESP","25 July"," 9 August","24 July –  9 August",""
24,"XXVI","1996 Summer Olympics",1996,"Summer","Atlanta","USA","19 July"," 4 August","20 July –  4 August",""
25,"XXVII","2000 Summer Olympics",2000,"Summer","Sydney","AUS","15 September"," 1 October","13 September –  1 October",""
26,"XXVIII","2004 Summer Olympics",2004,"Summer","Athina","GRE","13 August","29 August","11 – 29 August",""
53,"XXIX","2008 Summer Olympics",2008,"Summer","Beijing","CHN"," 8 August","24 August","6 – 24 August",""
54,"XXX","2012 Summer Olympics",2012,"Summer","London","GBR","27 July","12 August","25 July – 12 August",""
59,"XXXI","2016 Summer Olympics",2016,"Summer","Rio de Janeiro","BRA"," 5 August","21 August","3 – 21 August",""
61,"XXXII","2020 Summer Olympics",2020,"Summer","Tokyo","JPN","23 July 2021"," 8 August 2021","21 July –  8 August 2021",""
63,"XXXIII","2024 Summer Olympics",2024,"Summer","Paris","FRA","","","—",""
64,"XXXIV","2028 Summer Olympics",2028,"Summer","Los Angeles","USA","","","—",""
372,"XXXV","2032 Summer Olympics",2032,"Summer","Brisbane","AUS","","","—",""
29,"I","1924 Winter Olympics",1924,"Winter","Chamonix","FRA","24 January"," 5 February","26 January –  4 February",""
30,"II","1928 Winter Olympics",1928,"Winter","Sankt Moritz","SUI","11 February","17 February","11 – 19 February",""
31,"III","1932 Winter Olympics",1932,"Winter","Lake Placid","USA"," 4 February","13 February","4 – 15 February",""
32,"IV","1936 Winter Olympics",1936,"Winter","Garmisch-Partenkirchen","GER"," 6 February","16 February","6 – 16 February",""
55,"","1940 Winter Olympics",1940,"Winter","Garmisch-Partenkirchen","GER","","","—","Not held due to war"
56,"","1944 Winter Olympics",1944,"Winter","Cortina d'Ampezzo","ITA","","","—","Not held due to war"
33,"V","1948 Winter Olympics",1948,"Winter","Sankt Moritz","SUI","30 January"," 8 February","30 January –  8 February",""
34,"VI","1952 Winter Olympics",1952,"Winter","Oslo","NOR","15 February","25 February","14 – 25 February",""
35,"VII","1956 Winter Olympics",1956,"Winter","Cortina d'Ampezzo","ITA","26 January"," 5 February","26 January –  5 February",""
36,"VIII","1960 Winter Olympics",1960,"Winter","Squaw Valley","USA","18 February","28 February","19 – 28 February",""
37,"IX","1964 Winter Olympics",1964,"Winter","Innsbruck","AUT","29 January"," 9 February","27 January –  9 February",""
38,"X","1968 Winter Olympics",1968,"Winter","Grenoble","FRA"," 6 February","18 February","4 – 18 February",""
39,"XI","1972 Winter Olympics",1972,"Winter","Sapporo","JPN"," 3 February","13 February","3 – 13 February",""
40,"XII","1976 Winter Olympics",1976,"Winter","Innsbruck","AUT"," 4 February","15 February","3 – 15 February",""
41,"XIII","1980 Winter Olympics",1980,"Winter","Lake Placid","USA","13 February","24 February","12 – 24 February",""
42,"XIV","1984 Winter Olympics",1984,"Winter","Sarajevo","YUG"," 8 February","19 February","7 – 19 February",""
43,"XV","1988 Winter Olympics",1988,"Winter","Calgary","CAN","13 February","28 February","13 – 28 February",""
44,"XVI","1992 Winter Olympics",1992,"Winter","Albertville","FRA"," 8 February","23 February","8 – 23 February",""
45,"XVII","1994 Winter Olympics",1994,"Winter","Lillehammer","NOR","12 February","27 February","12 – 27 February",""
46,"XVIII","1998 Winter Olympics",1998,"Winter","Nagano","JPN"," 7 February","22 February","7 – 22 February",""
47,"XIX","2002 Winter Olympics",2002,"Winter","Salt Lake City","USA"," 8 February","24 February","9 – 24 February",""
49,"XX","2006 Winter Olympics",2006,"Winter","Torino","ITA","10 February","26 February","11 – 26 February",""
57,"XXI","2010 Winter Olympics",2010,"Winter","Vancouver","CAN","12 February","28 February","12 – 28 February",""
58,"XXII","2014 Winter Olympics",2014,"Winter","Sochi","RUS"," 7 February","23 February","6 – 23 February",""
60,"XXIII","2018 Winter Olympics",2018,"Winter","PyeongChang","KOR"," 9 February","25 February","8 – 25 February",""
62,"XXIV","2022 Winter Olympics",2022,"Winter","Beijing","CHN"," 4 February","20 February","2 – 20 February",""
72,"XXV","2026 Winter Olympics",2026,"Winter","Milano-Cortina d'Ampezzo","ITA"," 6 February","22 February","4 – 22 February",""
48,"","1956 Equestrian Olympics",1956,"Equestrian","Stockholm","SWE","10 June","17 June","11 – 17 June",""
4,"","1906 Intercalated Games",1906,"Intercalated","Athina","GRE","22 April","2 May","22 April - 2 May",""
